Coaxial Probe Method 18.0.19012401
Agilent Technologies,E8361C,US49010233,A.09.22.11

Ch 1
Port:, 2
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -17.000000 dBm
Date:,"Wednesday, September 14, 2022 12:50:25"
frequency(Hz),Tr 1  Data(e'),(e'')
4600000000.0000,4.113588e+000,8.585350e-001
4645000000.0000,4.099924e+000,8.642204e-001
4690000000.0000,4.059835e+000,8.371339e-001
4735000000.0000,4.063853e+000,8.363583e-001
4780000000.0000,4.030171e+000,8.372120e-001
4825000000.0000,4.029592e+000,8.242888e-001
4870000000.0000,4.037955e+000,8.202225e-001
4915000000.0000,4.062493e+000,8.412445e-001
4960000000.0000,4.056084e+000,8.354201e-001
5005000000.0000,4.062457e+000,8.766183e-001
5050000000.0000,4.076463e+000,9.070169e-001
5095000000.0000,4.053577e+000,9.140169e-001
5140000000.0000,4.071780e+000,9.235836e-001
5185000000.0000,4.044861e+000,9.506162e-001
5230000000.0000,4.051622e+000,9.453613e-001
5275000000.0000,4.050309e+000,9.435124e-001
5320000000.0000,4.022613e+000,9.621315e-001
5365000000.0000,4.008944e+000,9.505084e-001
5410000000.0000,4.025575e+000,9.653271e-001
5455000000.0000,3.979896e+000,9.604224e-001
5500000000.0000,3.982697e+000,9.543946e-001
5545000000.0000,3.987848e+000,9.631134e-001
5590000000.0000,3.938782e+000,9.630449e-001
5635000000.0000,3.970321e+000,9.563076e-001
5680000000.0000,3.966993e+000,9.820922e-001
5725000000.0000,3.942600e+000,9.775685e-001
5770000000.0000,3.974433e+000,9.783889e-001
5815000000.0000,3.960808e+000,1.016112e+000
5860000000.0000,3.946012e+000,9.994655e-001
5905000000.0000,3.997926e+000,1.028507e+000
5950000000.0000,3.958723e+000,1.042565e+000
5995000000.0000,3.967056e+000,1.021453e+000
6040000000.0000,3.978558e+000,1.061263e+000
6085000000.0000,3.933252e+000,1.059748e+000
6130000000.0000,3.952217e+000,1.045999e+000
6175000000.0000,3.929861e+000,1.071170e+000
6220000000.0000,3.912967e+000,1.064601e+000
6265000000.0000,3.912575e+000,1.045700e+000
6310000000.0000,3.897485e+000,1.070358e+000
6355000000.0000,3.869365e+000,1.047536e+000
6400000000.0000,3.877874e+000,1.049127e+000
6445000000.0000,3.866810e+000,1.081901e+000
6490000000.0000,3.856181e+000,1.051419e+000
6535000000.0000,3.876448e+000,1.065952e+000
6580000000.0000,3.857097e+000,1.084943e+000
6625000000.0000,3.862264e+000,1.065130e+000
6670000000.0000,3.878899e+000,1.099691e+000
6715000000.0000,3.875352e+000,1.089525e+000
6760000000.0000,3.872071e+000,1.100489e+000
6805000000.0000,3.900338e+000,1.117880e+000
6850000000.0000,3.873664e+000,1.090879e+000
6895000000.0000,3.873356e+000,1.105356e+000
6940000000.0000,3.868478e+000,1.110698e+000
6985000000.0000,3.850199e+000,1.110151e+000
7030000000.0000,3.851346e+000,1.114274e+000
7075000000.0000,3.834773e+000,1.131697e+000
7120000000.0000,3.826524e+000,1.129203e+000
7165000000.0000,3.828517e+000,1.139345e+000
7210000000.0000,3.825842e+000,1.149503e+000
7255000000.0000,3.822007e+000,1.157436e+000
7300000000.0000,3.828823e+000,1.164930e+000
7345000000.0000,3.825984e+000,1.172763e+000
7390000000.0000,3.824385e+000,1.194954e+000
7435000000.0000,3.829266e+000,1.196662e+000
7480000000.0000,3.843761e+000,1.211078e+000
7525000000.0000,3.832027e+000,1.201845e+000
7570000000.0000,3.827832e+000,1.206871e+000
7615000000.0000,3.827678e+000,1.217115e+000
7660000000.0000,3.805903e+000,1.212968e+000
7705000000.0000,3.811683e+000,1.224309e+000
7750000000.0000,3.794175e+000,1.229203e+000
7795000000.0000,3.775199e+000,1.233558e+000
7840000000.0000,3.785716e+000,1.229767e+000
7885000000.0000,3.756026e+000,1.243492e+000
7930000000.0000,3.752454e+000,1.233265e+000
7975000000.0000,3.748589e+000,1.251434e+000
8020000000.0000,3.736828e+000,1.263872e+000
8065000000.0000,3.741764e+000,1.251285e+000
8110000000.0000,3.735804e+000,1.291165e+000
8155000000.0000,3.740807e+000,1.289783e+000
8200000000.0000,3.744610e+000,1.286777e+000
8245000000.0000,3.739623e+000,1.311286e+000
8290000000.0000,3.718697e+000,1.298550e+000
8335000000.0000,3.740664e+000,1.318958e+000
8380000000.0000,3.726529e+000,1.325430e+000
8425000000.0000,3.713946e+000,1.322428e+000
8470000000.0000,3.719612e+000,1.330162e+000
8515000000.0000,3.698491e+000,1.338202e+000
8560000000.0000,3.691493e+000,1.321570e+000
8605000000.0000,3.675074e+000,1.336011e+000
8650000000.0000,3.658390e+000,1.339101e+000
8695000000.0000,3.651038e+000,1.331011e+000
8740000000.0000,3.647408e+000,1.359004e+000
8785000000.0000,3.620988e+000,1.351947e+000
8830000000.0000,3.642441e+000,1.368875e+000
8875000000.0000,3.648931e+000,1.382229e+000
8920000000.0000,3.624726e+000,1.372098e+000
8965000000.0000,3.647160e+000,1.396844e+000
9010000000.0000,3.629466e+000,1.398249e+000
9055000000.0000,3.634780e+000,1.401604e+000
9100000000.0000,3.619510e+000,1.402836e+000
9145000000.0000,3.603505e+000,1.416130e+000
9190000000.0000,3.609432e+000,1.409059e+000
9235000000.0000,3.592967e+000,1.414553e+000
9280000000.0000,3.575689e+000,1.412554e+000
9325000000.0000,3.567875e+000,1.408066e+000
9370000000.0000,3.559437e+000,1.420927e+000
9415000000.0000,3.533890e+000,1.411736e+000
9460000000.0000,3.531932e+000,1.417723e+000
9505000000.0000,3.518355e+000,1.434114e+000
9550000000.0000,3.520006e+000,1.426767e+000
9595000000.0000,3.512187e+000,1.440734e+000
9640000000.0000,3.506251e+000,1.449477e+000
9685000000.0000,3.509937e+000,1.451687e+000
9730000000.0000,3.510849e+000,1.470269e+000
9775000000.0000,3.499925e+000,1.462148e+000
9820000000.0000,3.500499e+000,1.473878e+000
9865000000.0000,3.493184e+000,1.474809e+000
9910000000.0000,3.487236e+000,1.467442e+000
9955000000.0000,3.476915e+000,1.476534e+000
10000000000.0000,3.465750e+000,1.471262e+000

