Coaxial Probe Method 18.0.19012401
Agilent Technologies,E8361C,US49010233,A.09.22.11

Ch 1
Port:, 2
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -17.000000 dBm
Date:,"Wednesday, September 14, 2022 12:22:01"
frequency(Hz),Tr 1  Data(e'),(e''/e')
4060000000.0000,7.526601e+001,1.967742e-001
4105000000.0000,7.519935e+001,1.989422e-001
4150000000.0000,7.513210e+001,2.011104e-001
4195000000.0000,7.506428e+001,2.032776e-001
4240000000.0000,7.499581e+001,2.054452e-001
4285000000.0000,7.492680e+001,2.076115e-001
4330000000.0000,7.485715e+001,2.097779e-001
4375000000.0000,7.478695e+001,2.119437e-001
4420000000.0000,7.471616e+001,2.141088e-001
4465000000.0000,7.464477e+001,2.162741e-001
4510000000.0000,7.457281e+001,2.184380e-001
4555000000.0000,7.450031e+001,2.206020e-001
4600000000.0000,7.442723e+001,2.227651e-001
4645000000.0000,7.435357e+001,2.249283e-001
4690000000.0000,7.427936e+001,2.270905e-001
4735000000.0000,7.420460e+001,2.292523e-001
4780000000.0000,7.412927e+001,2.314142e-001
4825000000.0000,7.405343e+001,2.335750e-001
4870000000.0000,7.397700e+001,2.357358e-001
4915000000.0000,7.390005e+001,2.378963e-001
4960000000.0000,7.382256e+001,2.400557e-001
5005000000.0000,7.374457e+001,2.422151e-001
5050000000.0000,7.366602e+001,2.443734e-001
5095000000.0000,7.358698e+001,2.465315e-001
5140000000.0000,7.350740e+001,2.486890e-001
5185000000.0000,7.342732e+001,2.508457e-001
5230000000.0000,7.334674e+001,2.530021e-001
5275000000.0000,7.326564e+001,2.551581e-001
5320000000.0000,7.318405e+001,2.573133e-001
5365000000.0000,7.310197e+001,2.594678e-001
5410000000.0000,7.301939e+001,2.616221e-001
5455000000.0000,7.293632e+001,2.637755e-001
5500000000.0000,7.285277e+001,2.659285e-001
5545000000.0000,7.276874e+001,2.680810e-001
5590000000.0000,7.268424e+001,2.702328e-001
5635000000.0000,7.259925e+001,2.723845e-001
5680000000.0000,7.251380e+001,2.745359e-001
5725000000.0000,7.242791e+001,2.766860e-001
5770000000.0000,7.234155e+001,2.788359e-001
5815000000.0000,7.225474e+001,2.809853e-001
5860000000.0000,7.216751e+001,2.831336e-001
5905000000.0000,7.207979e+001,2.852818e-001
5950000000.0000,7.199167e+001,2.874289e-001
5995000000.0000,7.190309e+001,2.895757e-001
6040000000.0000,7.181409e+001,2.917218e-001
6085000000.0000,7.172466e+001,2.938670e-001
6130000000.0000,7.163481e+001,2.960118e-001
6175000000.0000,7.154455e+001,2.981560e-001
6220000000.0000,7.145386e+001,3.002995e-001
6265000000.0000,7.136279e+001,3.024418e-001
6310000000.0000,7.127126e+001,3.045845e-001
6355000000.0000,7.117937e+001,3.067261e-001
6400000000.0000,7.108712e+001,3.088671e-001
6445000000.0000,7.099442e+001,3.110075e-001
6490000000.0000,7.090135e+001,3.131476e-001
6535000000.0000,7.080789e+001,3.152871e-001
6580000000.0000,7.071407e+001,3.174254e-001
6625000000.0000,7.061985e+001,3.195634e-001
6670000000.0000,7.052530e+001,3.217008e-001
6715000000.0000,7.043035e+001,3.238372e-001
6760000000.0000,7.033508e+001,3.259729e-001
6805000000.0000,7.023943e+001,3.281074e-001
6850000000.0000,7.014342e+001,3.302420e-001
6895000000.0000,7.004708e+001,3.323753e-001
6940000000.0000,6.995038e+001,3.345079e-001
6985000000.0000,6.985336e+001,3.366398e-001
7030000000.0000,6.975599e+001,3.387716e-001
7075000000.0000,6.965830e+001,3.409024e-001
7120000000.0000,6.956027e+001,3.430320e-001
7165000000.0000,6.946194e+001,3.451616e-001
7210000000.0000,6.936327e+001,3.472906e-001
7255000000.0000,6.926428e+001,3.494189e-001
7300000000.0000,6.916501e+001,3.515463e-001
7345000000.0000,6.906542e+001,3.536734e-001
7390000000.0000,6.896554e+001,3.557992e-001
7435000000.0000,6.886538e+001,3.579242e-001
7480000000.0000,6.876491e+001,3.600487e-001
7525000000.0000,6.866415e+001,3.621721e-001
7570000000.0000,6.856313e+001,3.642946e-001
7615000000.0000,6.846180e+001,3.664168e-001
7660000000.0000,6.836021e+001,3.685378e-001
7705000000.0000,6.825836e+001,3.706584e-001
7750000000.0000,6.815622e+001,3.727777e-001
7795000000.0000,6.805384e+001,3.748960e-001
7840000000.0000,6.795117e+001,3.770146e-001
7885000000.0000,6.784825e+001,3.791318e-001
7930000000.0000,6.774510e+001,3.812486e-001
7975000000.0000,6.764170e+001,3.833649e-001
8020000000.0000,6.753800e+001,3.854803e-001
8065000000.0000,6.743414e+001,3.875952e-001
8110000000.0000,6.733004e+001,3.897089e-001
8155000000.0000,6.722566e+001,3.918218e-001
8200000000.0000,6.712112e+001,3.939336e-001
8245000000.0000,6.701632e+001,3.960446e-001
8290000000.0000,6.691132e+001,3.981547e-001
8335000000.0000,6.680611e+001,4.002636e-001
8380000000.0000,6.670067e+001,4.023719e-001
8425000000.0000,6.659504e+001,4.044789e-001
8470000000.0000,6.648921e+001,4.065858e-001
8515000000.0000,6.638319e+001,4.086912e-001
8560000000.0000,6.627697e+001,4.107958e-001
8605000000.0000,6.617057e+001,4.129004e-001
8650000000.0000,6.606393e+001,4.150039e-001
8695000000.0000,6.595716e+001,4.171069e-001
8740000000.0000,6.585018e+001,4.192091e-001
8785000000.0000,6.574303e+001,4.213101e-001
8830000000.0000,6.563577e+001,4.234096e-001
8875000000.0000,6.552826e+001,4.255098e-001
8920000000.0000,6.542064e+001,4.276083e-001
8965000000.0000,6.531284e+001,4.297053e-001
9010000000.0000,6.520489e+001,4.318028e-001
9055000000.0000,6.509681e+001,4.338976e-001
9100000000.0000,6.498856e+001,4.359923e-001
9145000000.0000,6.488020e+001,4.380855e-001
9190000000.0000,6.477166e+001,4.401773e-001
9235000000.0000,6.466301e+001,4.422690e-001
9280000000.0000,6.455420e+001,4.443599e-001
9325000000.0000,6.444529e+001,4.464495e-001
9370000000.0000,6.433623e+001,4.485386e-001
9415000000.0000,6.422704e+001,4.506276e-001
9460000000.0000,6.411775e+001,4.527151e-001
9505000000.0000,6.400831e+001,4.548018e-001
9550000000.0000,6.389879e+001,4.568879e-001
9595000000.0000,6.378916e+001,4.589730e-001
9640000000.0000,6.367944e+001,4.610568e-001
9685000000.0000,6.356961e+001,4.631398e-001
9730000000.0000,6.345967e+001,4.652215e-001
9775000000.0000,6.334965e+001,4.673026e-001
9820000000.0000,6.323957e+001,4.693821e-001
9865000000.0000,6.312933e+001,4.714609e-001
9910000000.0000,6.301910e+001,4.735382e-001
9955000000.0000,6.290869e+001,4.756152e-001
10000000000.0000,6.279828e+001,4.776902e-001

