Coaxial Probe Method 18.0.19012401
Agilent Technologies,E8361C,US49010233,A.09.22.11

Ch 1
Port:, 2
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -17.000000 dBm
Date:,"Wednesday, September 14, 2022 12:57:01"
frequency(Hz),Tr 1  Data(e'),(e'')
3655000000.0000,3.474417e+000,5.535339e-001
3700000000.0000,3.555740e+000,5.207857e-001
3745000000.0000,3.548163e+000,5.837752e-001
3790000000.0000,3.491297e+000,5.309666e-001
3835000000.0000,3.556539e+000,5.222940e-001
3880000000.0000,3.504349e+000,5.774690e-001
3925000000.0000,3.462667e+000,5.276580e-001
3970000000.0000,3.508976e+000,5.667128e-001
4015000000.0000,3.460886e+000,5.816305e-001
4060000000.0000,3.409137e+000,5.607651e-001
4105000000.0000,3.507339e+000,6.298114e-001
4150000000.0000,3.428636e+000,6.082053e-001
4195000000.0000,3.467171e+000,6.097407e-001
4240000000.0000,3.495089e+000,6.469030e-001
4285000000.0000,3.441371e+000,6.511585e-001
4330000000.0000,3.505752e+000,6.604604e-001
4375000000.0000,3.503464e+000,6.812862e-001
4420000000.0000,3.491567e+000,6.682119e-001
4465000000.0000,3.526455e+000,6.530367e-001
4510000000.0000,3.500994e+000,6.764043e-001
4555000000.0000,3.473442e+000,6.746378e-001
4600000000.0000,3.482839e+000,6.927913e-001
4645000000.0000,3.465945e+000,6.824339e-001
4690000000.0000,3.415649e+000,6.545535e-001
4735000000.0000,3.388852e+000,6.498090e-001
4780000000.0000,3.362951e+000,6.430847e-001
4825000000.0000,3.348247e+000,6.336975e-001
4870000000.0000,3.377673e+000,6.207110e-001
4915000000.0000,3.403849e+000,6.376123e-001
4960000000.0000,3.417278e+000,6.450460e-001
5005000000.0000,3.443186e+000,6.776249e-001
5050000000.0000,3.480084e+000,7.191975e-001
5095000000.0000,3.462220e+000,7.221396e-001
5140000000.0000,3.502931e+000,7.194617e-001
5185000000.0000,3.468729e+000,7.692204e-001
5230000000.0000,3.480446e+000,7.365781e-001
5275000000.0000,3.481722e+000,7.385931e-001
5320000000.0000,3.435982e+000,7.526385e-001
5365000000.0000,3.418714e+000,7.283975e-001
5410000000.0000,3.428256e+000,7.571780e-001
5455000000.0000,3.360526e+000,7.451044e-001
5500000000.0000,3.362742e+000,7.345974e-001
5545000000.0000,3.361959e+000,7.594061e-001
5590000000.0000,3.298974e+000,7.542525e-001
5635000000.0000,3.346295e+000,7.519310e-001
5680000000.0000,3.342957e+000,7.910465e-001
5725000000.0000,3.327744e+000,7.787918e-001
5770000000.0000,3.371069e+000,7.880540e-001
5815000000.0000,3.370575e+000,8.207401e-001
5860000000.0000,3.359127e+000,7.983755e-001
5905000000.0000,3.436135e+000,8.280418e-001
5950000000.0000,3.396249e+000,8.333090e-001
5995000000.0000,3.410587e+000,7.977298e-001
6040000000.0000,3.428356e+000,8.415901e-001
6085000000.0000,3.369088e+000,8.271748e-001
6130000000.0000,3.387225e+000,8.125449e-001
6175000000.0000,3.347861e+000,8.344360e-001
6220000000.0000,3.321619e+000,8.274638e-001
6265000000.0000,3.311113e+000,8.104138e-001
6310000000.0000,3.288272e+000,8.392125e-001
6355000000.0000,3.255131e+000,8.177987e-001
6400000000.0000,3.261752e+000,8.266339e-001
6445000000.0000,3.271931e+000,8.665037e-001
6490000000.0000,3.258836e+000,8.369406e-001
6535000000.0000,3.309222e+000,8.563044e-001
6580000000.0000,3.294356e+000,8.742622e-001
6625000000.0000,3.317530e+000,8.574031e-001
6670000000.0000,3.346770e+000,8.835512e-001
6715000000.0000,3.344741e+000,8.768336e-001
6760000000.0000,3.347333e+000,8.776664e-001
6805000000.0000,3.374892e+000,8.915856e-001
6850000000.0000,3.332899e+000,8.599543e-001
6895000000.0000,3.318274e+000,8.607393e-001
6940000000.0000,3.299233e+000,8.709205e-001
6985000000.0000,3.266008e+000,8.652607e-001
7030000000.0000,3.253368e+000,8.676709e-001
7075000000.0000,3.236412e+000,8.937485e-001
7120000000.0000,3.218172e+000,8.876664e-001
7165000000.0000,3.229351e+000,9.011966e-001
7210000000.0000,3.228265e+000,9.225542e-001
7255000000.0000,3.231089e+000,9.246451e-001
7300000000.0000,3.271326e+000,9.406711e-001
7345000000.0000,3.266415e+000,9.534180e-001
7390000000.0000,3.303337e+000,9.736596e-001
7435000000.0000,3.308855e+000,9.777932e-001
7480000000.0000,3.336272e+000,9.867181e-001
7525000000.0000,3.329413e+000,9.626888e-001
7570000000.0000,3.309186e+000,9.675610e-001
7615000000.0000,3.305950e+000,9.664774e-001
7660000000.0000,3.261712e+000,9.533822e-001
7705000000.0000,3.260822e+000,9.664989e-001
7750000000.0000,3.219723e+000,9.592508e-001
7795000000.0000,3.192884e+000,9.716042e-001
7840000000.0000,3.194939e+000,9.602845e-001
7885000000.0000,3.158355e+000,9.753132e-001
7930000000.0000,3.163728e+000,9.740363e-001
7975000000.0000,3.161921e+000,9.886900e-001
8020000000.0000,3.173676e+000,1.015933e+000
8065000000.0000,3.186076e+000,9.992316e-001
8110000000.0000,3.211552e+000,1.047562e+000
8155000000.0000,3.232080e+000,1.054263e+000
8200000000.0000,3.247513e+000,1.037073e+000
8245000000.0000,3.253177e+000,1.069085e+000
8290000000.0000,3.223982e+000,1.048206e+000
8335000000.0000,3.247822e+000,1.059008e+000
8380000000.0000,3.218867e+000,1.066202e+000
8425000000.0000,3.187520e+000,1.043606e+000
8470000000.0000,3.183604e+000,1.052756e+000
8515000000.0000,3.139993e+000,1.050384e+000
8560000000.0000,3.124896e+000,1.029761e+000
8605000000.0000,3.098976e+000,1.044816e+000
8650000000.0000,3.079039e+000,1.050404e+000
8695000000.0000,3.078121e+000,1.043075e+000
8740000000.0000,3.081395e+000,1.079150e+000
8785000000.0000,3.071684e+000,1.081871e+000
8830000000.0000,3.112917e+000,1.098314e+000
8875000000.0000,3.136580e+000,1.128405e+000
8920000000.0000,3.132192e+000,1.109862e+000
8965000000.0000,3.170983e+000,1.146214e+000
9010000000.0000,3.167975e+000,1.147816e+000
9055000000.0000,3.172968e+000,1.137757e+000
9100000000.0000,3.154745e+000,1.137982e+000
9145000000.0000,3.117876e+000,1.136251e+000
9190000000.0000,3.110262e+000,1.119486e+000
9235000000.0000,3.069607e+000,1.118788e+000
9280000000.0000,3.036841e+000,1.104755e+000
9325000000.0000,3.018875e+000,1.099931e+000
9370000000.0000,2.997186e+000,1.109539e+000
9415000000.0000,2.976857e+000,1.101759e+000
9460000000.0000,2.972970e+000,1.112672e+000
9505000000.0000,2.980827e+000,1.139959e+000
9550000000.0000,2.985663e+000,1.137159e+000
9595000000.0000,3.013510e+000,1.163178e+000
9640000000.0000,3.013656e+000,1.182547e+000
9685000000.0000,3.049347e+000,1.185445e+000
9730000000.0000,3.054772e+000,1.216581e+000
9775000000.0000,3.052387e+000,1.194508e+000
9820000000.0000,3.061502e+000,1.213647e+000
9865000000.0000,3.037019e+000,1.200398e+000
9910000000.0000,3.029692e+000,1.186105e+000
9955000000.0000,2.995341e+000,1.186258e+000
10000000000.0000,2.962765e+000,1.164782e+000

